order_number,notification_number,equipment_number,functional_location,order_type,status,priority,maintenance_activity_type,short_text,long_text,created_at_source,required_by_at,started_at,finished_at,total_cost,downtime_hours
WO-2023001,N-910001,P-101,PLANT-A/AREA-1/PUMP-1,CM,closed,medium,corrective,Cavitation on Pump asset 01,Cavitation identified on P-101 during operation. Corrective work completed and asset returned to service.,2023-01-01T06:00:00+00:00,2023-01-02T06:00:00+00:00,2023-01-01T08:00:00+00:00,2023-01-01T09:30:00+00:00,1400.00,1.50
WO-2023002,,V-118,PLANT-A/AREA-3/VALVE-4,PM,closed,medium,preventive,Complete scheduled PM on Valve asset 18,Preventive maintenance completed on V-118 with no immediate defect recorded.,2023-01-02T18:00:00+00:00,2023-01-04T18:00:00+00:00,2023-01-02T21:00:00+00:00,2023-01-02T21:30:00+00:00,205.00,0.00
WO-2023003,N-910003,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,CM,closed,high,corrective,Low heat transfer on Heat exchanger asset 35,Low heat transfer identified on HX-135 during operation. Corrective work completed and asset returned to service.,2023-01-04T06:00:00+00:00,2023-01-07T06:00:00+00:00,2023-01-04T10:00:00+00:00,2023-01-04T18:30:00+00:00,1630.00,8.50
WO-2023004,,M-102,PLANT-A/AREA-2/MOTOR-1,INSP,closed,low,inspection,Inspect condition of Motor asset 02,Inspection completed on M-102; observations recorded for reliability trending.,2023-01-05T18:00:00+00:00,2023-01-09T18:00:00+00:00,2023-01-05T23:00:00+00:00,2023-01-05T23:30:00+00:00,180.00,0.00
WO-2023005,N-910005,C-119,PLANT-A/AREA-4/COMPRESSOR-4,EM,closed,medium,emergency,High discharge temperature on Compressor asset 19,High discharge temperature identified on C-119 during operation. Corrective work completed and asset returned to service.,2023-01-07T06:00:00+00:00,2023-01-12T06:00:00+00:00,2023-01-07T12:00:00+00:00,2023-01-07T16:30:00+00:00,3660.00,4.50
WO-2023006,,P-136,PLANT-A/AREA-1/PUMP-8,PM,closed,low,preventive,Complete scheduled PM on Pump asset 36,Preventive maintenance completed on P-136 with no immediate defect recorded.,2023-01-08T18:00:00+00:00,2023-01-09T18:00:00+00:00,2023-01-09T01:00:00+00:00,2023-01-09T01:30:00+00:00,305.00,0.00
WO-2023007,N-910007,CV-103,PLANT-A/AREA-3/CONVEYOR-1,CM,closed,high,corrective,Belt mistracking on Conveyor asset 03,Belt mistracking identified on CV-103 during operation. Corrective work completed and asset returned to service.,2023-01-10T06:00:00+00:00,2023-01-12T06:00:00+00:00,2023-01-10T14:00:00+00:00,2023-01-11T01:30:00+00:00,2090.00,11.50
WO-2023008,N-910008,F-120,PLANT-A/AREA-5/FAN-4,CMON,closed,high,condition_monitoring,Imbalance on Fan asset 20,Imbalance identified on F-120 during operation. Corrective work completed and asset returned to service.,2023-01-11T18:00:00+00:00,2023-01-14T18:00:00+00:00,2023-01-12T03:00:00+00:00,2023-01-12T07:00:00+00:00,1655.00,0.00
WO-2023009,N-910009,M-137,PLANT-A/AREA-2/MOTOR-8,CM,closed,low,corrective,Insulation breakdown on Motor asset 37,Insulation breakdown identified on M-137 during operation. Corrective work completed and asset returned to service.,2023-01-13T06:00:00+00:00,2023-01-17T06:00:00+00:00,2023-01-13T16:00:00+00:00,2023-01-13T23:30:00+00:00,2320.00,7.50
WO-2023010,,V-104,PLANT-A/AREA-4/VALVE-1,PM,closed,high,preventive,Complete scheduled PM on Valve asset 04,Preventive maintenance completed on V-104 with no immediate defect recorded.,2023-01-14T18:00:00+00:00,2023-01-19T18:00:00+00:00,2023-01-14T20:00:00+00:00,2023-01-14T20:30:00+00:00,180.00,0.00
