strategy_number,task_number,equipment_number,functional_location,task_description,strategy_type,frequency_value,frequency_unit,status
PM-PUMP-P-101,P-101-TASK-01,P-101,PLANT-A/AREA-1/PUMP-1,Inspect vibration and bearing temperature,inspection,4,weeks,active
PM-PUMP-P-101,P-101-TASK-02,P-101,PLANT-A/AREA-1/PUMP-1,Inspect mechanical seal leakage,condition_based,4,weeks,active
PM-MOTOR-M-102,M-102-TASK-01,M-102,PLANT-A/AREA-2/MOTOR-1,Clean cooling fins and inspect fan cover,inspection,8,weeks,active
PM-MOTOR-M-102,M-102-TASK-02,M-102,PLANT-A/AREA-2/MOTOR-1,Check motor current and terminal condition,condition_based,8,weeks,active
PM-CONVEYOR-CV-103,CV-103-TASK-01,CV-103,PLANT-A/AREA-3/CONVEYOR-1,Inspect belt tracking and edge wear,inspection,12,weeks,active
PM-CONVEYOR-CV-103,CV-103-TASK-02,CV-103,PLANT-A/AREA-3/CONVEYOR-1,Inspect pulley bearings and guards,condition_based,12,weeks,active
PM-VALVE-V-104,V-104-TASK-01,V-104,PLANT-A/AREA-4/VALVE-1,Stroke test valve and actuator,inspection,4,weeks,active
PM-VALVE-V-104,V-104-TASK-02,V-104,PLANT-A/AREA-4/VALVE-1,Inspect packing and external leakage,condition_based,4,weeks,active
PM-COMPRESSOR-C-105,C-105-TASK-01,C-105,PLANT-A/AREA-5/COMPRESSOR-1,Inspect oil level and separator condition,inspection,8,weeks,active
PM-COMPRESSOR-C-105,C-105-TASK-02,C-105,PLANT-A/AREA-5/COMPRESSOR-1,Check discharge temperature and vibration,condition_based,8,weeks,active
PM-FAN-F-106,F-106-TASK-01,F-106,PLANT-A/AREA-1/FAN-2,Inspect fan vibration and belt tension,inspection,12,weeks,active
PM-FAN-F-106,F-106-TASK-02,F-106,PLANT-A/AREA-1/FAN-2,Inspect bearing temperature and lubrication,condition_based,12,weeks,active
PM-HEAT-EXCHANGER-HX-107,HX-107-TASK-01,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,Inspect temperature approach and pressure drop,inspection,4,weeks,active
PM-HEAT-EXCHANGER-HX-107,HX-107-TASK-02,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,Inspect for external leakage and corrosion,condition_based,4,weeks,active
PM-PUMP-P-108,P-108-TASK-01,P-108,PLANT-A/AREA-3/PUMP-2,Inspect vibration and bearing temperature,inspection,8,weeks,active
PM-PUMP-P-108,P-108-TASK-02,P-108,PLANT-A/AREA-3/PUMP-2,Inspect mechanical seal leakage,condition_based,8,weeks,active
PM-MOTOR-M-109,M-109-TASK-01,M-109,PLANT-A/AREA-4/MOTOR-2,Clean cooling fins and inspect fan cover,inspection,12,weeks,active
PM-MOTOR-M-109,M-109-TASK-02,M-109,PLANT-A/AREA-4/MOTOR-2,Check motor current and terminal condition,condition_based,12,weeks,active
PM-CONVEYOR-CV-110,CV-110-TASK-01,CV-110,PLANT-A/AREA-5/CONVEYOR-2,Inspect belt tracking and edge wear,inspection,4,weeks,active
PM-CONVEYOR-CV-110,CV-110-TASK-02,CV-110,PLANT-A/AREA-5/CONVEYOR-2,Inspect pulley bearings and guards,condition_based,4,weeks,active
PM-VALVE-V-111,V-111-TASK-01,V-111,PLANT-A/AREA-1/VALVE-3,Stroke test valve and actuator,inspection,8,weeks,active
PM-VALVE-V-111,V-111-TASK-02,V-111,PLANT-A/AREA-1/VALVE-3,Inspect packing and external leakage,condition_based,8,weeks,active
PM-COMPRESSOR-C-112,C-112-TASK-01,C-112,PLANT-A/AREA-2/COMPRESSOR-3,Inspect oil level and separator condition,inspection,12,weeks,active
PM-COMPRESSOR-C-112,C-112-TASK-02,C-112,PLANT-A/AREA-2/COMPRESSOR-3,Check discharge temperature and vibration,condition_based,12,weeks,active
PM-FAN-F-113,F-113-TASK-01,F-113,PLANT-A/AREA-3/FAN-3,Inspect fan vibration and belt tension,inspection,4,weeks,active
PM-FAN-F-113,F-113-TASK-02,F-113,PLANT-A/AREA-3/FAN-3,Inspect bearing temperature and lubrication,condition_based,4,weeks,active
PM-HEAT-EXCHANGER-HX-114,HX-114-TASK-01,HX-114,PLANT-A/AREA-4/HEAT-EXCHANGER-3,Inspect temperature approach and pressure drop,inspection,8,weeks,active
PM-HEAT-EXCHANGER-HX-114,HX-114-TASK-02,HX-114,PLANT-A/AREA-4/HEAT-EXCHANGER-3,Inspect for external leakage and corrosion,condition_based,8,weeks,active
PM-PUMP-P-115,P-115-TASK-01,P-115,PLANT-A/AREA-5/PUMP-3,Inspect vibration and bearing temperature,inspection,12,weeks,active
PM-PUMP-P-115,P-115-TASK-02,P-115,PLANT-A/AREA-5/PUMP-3,Inspect mechanical seal leakage,condition_based,12,weeks,active
PM-MOTOR-M-116,M-116-TASK-01,M-116,PLANT-A/AREA-1/MOTOR-4,Clean cooling fins and inspect fan cover,inspection,4,weeks,active
PM-MOTOR-M-116,M-116-TASK-02,M-116,PLANT-A/AREA-1/MOTOR-4,Check motor current and terminal condition,condition_based,4,weeks,active
PM-CONVEYOR-CV-117,CV-117-TASK-01,CV-117,PLANT-A/AREA-2/CONVEYOR-4,Inspect belt tracking and edge wear,inspection,8,weeks,active
PM-CONVEYOR-CV-117,CV-117-TASK-02,CV-117,PLANT-A/AREA-2/CONVEYOR-4,Inspect pulley bearings and guards,condition_based,8,weeks,active
PM-VALVE-V-118,V-118-TASK-01,V-118,PLANT-A/AREA-3/VALVE-4,Stroke test valve and actuator,inspection,12,weeks,active
PM-VALVE-V-118,V-118-TASK-02,V-118,PLANT-A/AREA-3/VALVE-4,Inspect packing and external leakage,condition_based,12,weeks,active
PM-COMPRESSOR-C-119,C-119-TASK-01,C-119,PLANT-A/AREA-4/COMPRESSOR-4,Inspect oil level and separator condition,inspection,4,weeks,active
PM-COMPRESSOR-C-119,C-119-TASK-02,C-119,PLANT-A/AREA-4/COMPRESSOR-4,Check discharge temperature and vibration,condition_based,4,weeks,active
PM-FAN-F-120,F-120-TASK-01,F-120,PLANT-A/AREA-5/FAN-4,Inspect fan vibration and belt tension,inspection,8,weeks,active
PM-FAN-F-120,F-120-TASK-02,F-120,PLANT-A/AREA-5/FAN-4,Inspect bearing temperature and lubrication,condition_based,8,weeks,active
PM-HEAT-EXCHANGER-HX-121,HX-121-TASK-01,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,Inspect temperature approach and pressure drop,inspection,12,weeks,active
PM-HEAT-EXCHANGER-HX-121,HX-121-TASK-02,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,Inspect for external leakage and corrosion,condition_based,12,weeks,active
PM-PUMP-P-122,P-122-TASK-01,P-122,PLANT-A/AREA-2/PUMP-5,Inspect vibration and bearing temperature,inspection,4,weeks,active
PM-PUMP-P-122,P-122-TASK-02,P-122,PLANT-A/AREA-2/PUMP-5,Inspect mechanical seal leakage,condition_based,4,weeks,active
PM-MOTOR-M-123,M-123-TASK-01,M-123,PLANT-A/AREA-3/MOTOR-5,Clean cooling fins and inspect fan cover,inspection,8,weeks,active
PM-MOTOR-M-123,M-123-TASK-02,M-123,PLANT-A/AREA-3/MOTOR-5,Check motor current and terminal condition,condition_based,8,weeks,active
PM-CONVEYOR-CV-124,CV-124-TASK-01,CV-124,PLANT-A/AREA-4/CONVEYOR-5,Inspect belt tracking and edge wear,inspection,12,weeks,active
PM-CONVEYOR-CV-124,CV-124-TASK-02,CV-124,PLANT-A/AREA-4/CONVEYOR-5,Inspect pulley bearings and guards,condition_based,12,weeks,active
PM-VALVE-V-125,V-125-TASK-01,V-125,PLANT-A/AREA-5/VALVE-5,Stroke test valve and actuator,inspection,4,weeks,active
PM-VALVE-V-125,V-125-TASK-02,V-125,PLANT-A/AREA-5/VALVE-5,Inspect packing and external leakage,condition_based,4,weeks,active
