order_number,failure_mode_name,equipment_type,source,confidence,evidence
WO-2023001,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-101.
WO-2023003,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-135.
WO-2023005,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-119.
WO-2023007,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-103.
WO-2023008,Imbalance,fan,import,0.850,Work order text identifies imbalance on F-120.
WO-2023009,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-137.
WO-2023011,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-121.
WO-2023013,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-106.
WO-2023014,Overheating,motor,import,1.000,Work order text identifies overheating on M-123.
WO-2023016,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-107.
WO-2023018,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-141.
WO-2023019,Cavitation,pump,import,0.850,Work order text identifies cavitation on P-108.
WO-2023020,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-125.
WO-2023022,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-109.
WO-2023024,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-144.
WO-2023026,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-128.
WO-2023027,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-145.
WO-2023029,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-129.
WO-2023030,Actuator failure,valve,import,0.850,Work order text identifies actuator failure on V-146.
WO-2023031,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-113.
WO-2023033,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-147.
WO-2023035,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-132.
WO-2023037,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-116.
WO-2023038,High discharge temperature,compressor,import,0.850,Work order text identifies high discharge temperature on C-133.
WO-2023039,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-150.
WO-2023040,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-117.
WO-2023041,Imbalance,fan,import,0.850,Work order text identifies imbalance on F-134.
WO-2023042,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-101.
WO-2023044,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-135.
WO-2023046,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-120.
WO-2023048,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-104.
WO-2023049,Tube fouling,heat_exchanger,import,0.850,Work order text identifies tube fouling on HX-121.
WO-2023050,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-138.
WO-2023052,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-122.
WO-2023053,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-139.
WO-2023055,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-123.
WO-2023057,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-108.
WO-2023059,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-142.
WO-2023060,Insulation breakdown,motor,import,0.850,Work order text identifies insulation breakdown on M-109.
WO-2023061,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-126.
WO-2023063,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-110.
WO-2023065,Overheating,motor,import,1.000,Work order text identifies overheating on M-144.
WO-2023066,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-111.
